Ville,Température actuelle C°,Température ressentie C°,Température minimale C°,Température maximale C°,Pression atmosphérique,Humidité,Vitesse du vent km/h,Direction du vent en ° ,Lever du soleil,Coucher du soleil
Paris,11.38,9.88,10.7,12.43,1025,50,6.69,50,2023-04-03 07:24:51,2023-04-03 20:22:48
Marseille,17.85,16.58,14.53,19.26,1010,34,1.79,326,2023-04-03 07:16:58,2023-04-03 20:05:29
Lyon,8.06,8.06,6.04,8.72,1019,74,0.89,48,2023-04-03 07:18:42,2023-04-03 20:11:05
Toulouse,12.99,11.96,12.09,12.99,1020,62,5.66,310,2023-04-03 07:32:58,2023-04-03 20:21:56
Nice,11.0,9.54,9.34,11.0,1010,53,2.9,208,2023-04-03 07:09:27,2023-04-03 19:58:59
Nantes,8.33,5.66,7.81,9.44,1024,76,4.63,40,2023-04-03 07:42:06,2023-04-03 20:37:00
Montpellier,17.6,16.46,17.29,17.71,1013,40,6.69,360,2023-04-03 07:23:14,2023-04-03 20:12:11
Strasbourg,8.05,4.71,7.14,8.49,1025,49,6.17,60,2023-04-03 07:03:34,2023-04-03 20:00:56
Bordeaux,14.15,13.03,14.15,15.19,1021,54,3.6,50,2023-04-03 07:40:04,2023-04-03 20:31:01
Lille,10.98,9.31,8.85,12.15,1027,45,5.66,60,2023-04-03 07:20:16,2023-04-03 20:21:42
Rennes,9.31,7.96,9.02,11.43,1026,71,2.57,100,2023-04-03 07:41:32,2023-04-03 20:38:14
Reims,10.87,9.32,9.41,10.88,1025,50,5.66,70,2023-04-03 07:17:38,2023-04-03 20:16:09
Le Havre,10.51,9.1,10.51,10.86,1027,57,5.14,80,2023-04-03 07:33:11,2023-04-03 20:32:23
Saint-Étienne,6.56,3.78,5.29,6.59,1019,80,3.99,354,2023-04-03 07:19:18,2023-04-03 20:11:08
Toulon,18.22,17.53,16.81,22.51,1009,55,5.66,230,2023-04-03 07:15:24,2023-04-03 20:03:35
Grenoble,3.09,0.57,3.09,3.09,1017,93,2.57,336,2023-04-03 07:14:15,2023-04-03 20:05:32
Dijon,6.99,3.55,6.85,10.73,1022,76,5.66,20,2023-04-03 07:15:37,2023-04-03 20:10:42
Angers,11.0,9.75,9.01,11.0,1024,61,4.84,51,2023-04-03 07:37:43,2023-04-03 20:33:07
Nîmes,15.71,14.51,14.1,16.31,1013,45,10.29,360,2023-04-03 07:20:50,2023-04-03 20:10:16
Villeurbanne,9.49,5.59,8.45,11.13,1019,78,9.77,340,2023-04-03 07:17:29,2023-04-03 20:09:54
